Name,altitudeMode,distance,angle,X,Y
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00000000000000,124.85445556664565,-72.672,-37.819
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00068242215673,174.57788059159347,-72.671,-37.819
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00184216350719,263.00136764290454,-72.672,-37.820
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00304103797937,352.84817183220719,-72.673,-37.820
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00425037664162,353.15726525193588,-72.672,-37.819
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00483020420219,320.25910350697518,-72.673,-37.818
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00488405585026,335.81676966407360,-72.673,-37.818
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00499585924914,358.69871889833036,-72.673,-37.818
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00509434782716,18.99936622322738,-72.673,-37.818
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00513557888341,7.01812173635802,-72.673,-37.818
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00515557888341,12.22197739062653,-72.673,-37.818
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00551807026262,26.37235527204236,-72.673,-37.818
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00566571849323,32.16406457352751,-72.672,-37.818
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00580173319831,39.26891023249475,-72.672,-37.818
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00596452140427,45.18642615288056,-72.672,-37.818
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00624771744944,44.74797228022106,-72.672,-37.817
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00636813339523,43.98287959509851,-72.672,-37.817
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00697640964826,44.30295442894811,-72.672,-37.817
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00712507033573,46.01866534686606,-72.671,-37.817
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00729536419939,46.69440345512280,-72.671,-37.817
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00817950219768,44.67984312694558,-72.671,-37.816
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00928267942731,44.30671231845034,-72.670,-37.815
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00966477889080,45.18422826356326,-72.670,-37.815
"Directions from Dilman Bullock 3056, 4651861 Araucanía, Angol, Araucanía, Chile to Cauquenes, Chile",,0.00982756709677,45.94323086493910,-72.670,-37.815
