Name,altitudeMode,distance,angle,X,Y
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.00000000000000,2.88641854409401,-72.315,-35.967
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.00119151164493,3.99841805238509,-72.315,-35.965
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.00242642054845,3.57791302474279,-72.315,-35.964
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.00354713460654,3.36565416425388,-72.314,-35.963
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.00415918035646,2.73006000243584,-72.314,-35.962
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.00489924792094,41.54762817881399,-72.314,-35.962
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.00579730137147,84.11770970610210,-72.314,-35.962
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.00621837143690,87.48759613718750,-72.313,-35.962
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.00682845339860,52.17867818456372,-72.313,-35.962
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.00925439651418,14.71043515633139,-72.312,-35.959
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.01240978872435,16.09239746671913,-72.311,-35.956
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.01289362754048,21.25221335756817,-72.311,-35.956
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.01301445800022,1.37665757488071,-72.311,-35.956
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.01685650172719,341.18198223218553,-72.312,-35.952
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.01692930282609,340.18195734594133,-72.312,-35.952
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.01799948972565,338.42776459064174,-72.313,-35.951
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02031148021006,327.77310928175677,-72.314,-35.949
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02032562234569,330.03429140126025,-72.314,-35.949
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02048086409265,352.53429141143795,-72.314,-35.949
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02049086409265,352.78961343622888,-72.314,-35.949
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02157502275263,352.78961343622888,-72.314,-35.948
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02158502275263,337.50000001017776,-72.314,-35.948
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02159916488824,332.63621073410570,-72.314,-35.948
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02230937612443,351.33080098515342,-72.314,-35.947
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02464999570052,311.19459026122553,-72.314,-35.945
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02465999570052,311.82990412828627,-72.314,-35.945
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02484110340329,352.09874302427340,-72.314,-35.944
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02538855203101,352.19552606581613,-72.314,-35.944
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02604231039616,355.82538809017882,-72.314,-35.943
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02630250263279,356.04340435065956,-72.315,-35.943
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02660399890142,350.12658170353069,-72.315,-35.943
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02664522995767,352.98187827322107,-72.315,-35.943
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02667522995768,351.22713562697680,-72.315,-35.943
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02810158895877,351.22713562697680,-72.315,-35.941
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02811158895877,344.19624887745800,-72.315,-35.941
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.02856951908444,325.65740970383325,-72.315,-35.941
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.03077553359029,318.96116082976783,-72.317,-35.939
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.03081795999716,318.04793077547805,-72.317,-35.939
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.03155042160025,319.14922985332913,-72.317,-35.938
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.03191838899011,314.19426166481907,-72.317,-35.938
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.03202469044823,307.70081364912596,-72.317,-35.938
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.03232701477740,300.39037665612511,-72.318,-35.938
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.03241645749650,300.12755935199857,-72.318,-35.938
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.03248856852201,298.15496623563700,-72.318,-35.938
"Directions from Cauquenes, Chile to Bucalemu, Paredones, Chile",,0.03313856852200,296.54270493263465,-72.318,-35.938
