Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,X,Y
"San Martín de los Andes, Neuquén Province",,,,,,"-1","0","-1",,,-71.3523868,-40.1572353
"Junín de los Andes, Neuquén Province",,,,,,"-1","0","-1",,,-71.071359,-39.9501985
"Mamuil Malal Pass, Curarrehue, Chile",,,,,,"-1","0","-1",,,-71.4666244,-39.5832106
"Villarrica, Chile",,,,,,"-1","0","-1",,,-72.2281654,-39.2827107
"Pitrufquén, Chile",,,,,,"-1","0","-1",,,-72.6382708,-38.9864949
